result | reference pattern | recorded pattern | recorded pattern spike count
1|[9,4,0,9,3,4,2,4,4,0,]|[9,4,0,9,3,4,2,4,4,0,]|[46,44,40,54,55,59,46,50,46,53,]
1|[6,4,6,8,3,4,7,6,2,0,]|[6,4,6,8,3,4,7,6,2,0,]|[58,48,44,50,45,53,61,38,57,60,]
1|[2,2,3,4,0,7,9,4,1,9,]|[2,2,3,4,0,7,9,4,1,9,]|[35,54,52,48,43,38,45,52,45,41,]
1|[4,6,1,2,5,0,6,9,6,3,]|[4,6,1,2,5,0,6,9,6,3,]|[51,47,39,44,44,45,47,48,46,51,]
1|[7,5,6,8,5,0,7,4,6,4,]|[7,5,6,8,5,0,7,4,6,4,]|[55,46,43,54,44,48,57,46,55,60,]
1|[6,2,6,9,0,7,6,3,2,1,]|[6,2,6,9,0,7,6,3,2,1,]|[44,47,50,40,44,39,37,46,40,30,]
1|[6,2,5,1,8,9,3,2,3,9,]|[6,2,5,1,8,9,3,2,3,9,]|[61,44,55,53,39,50,44,54,57,42,]
1|[6,4,1,9,9,9,3,1,0,8,]|[6,4,1,9,9,9,3,1,0,8,]|[46,51,50,50,59,52,39,57,41,37,]
1|[2,6,0,8,0,0,3,7,4,2,]|[2,6,0,8,0,0,3,7,4,2,]|[50,32,50,46,41,55,48,44,57,46,]
1|[2,2,1,3,4,8,2,5,6,3,]|[2,2,1,3,4,8,2,5,6,3,]|[36,49,53,56,53,62,50,41,51,43,]
correct pattern: 10/10(100%)
