result | reference pattern | recorded pattern | recorded pattern spike count
1|[9,8,0,3,1,4,6,0,0,8,]|[9,8,0,3,1,4,6,0,0,8,]|[41,59,38,46,45,55,47,36,43,39,]
1|[9,4,1,6,5,5,0,3,6,9,]|[9,4,1,6,5,5,0,3,6,9,]|[49,38,47,48,44,53,52,56,46,46,]
1|[5,2,5,7,1,4,0,3,4,4,]|[5,2,5,7,1,4,0,3,4,4,]|[45,45,51,41,51,50,40,70,39,38,]
1|[2,7,4,0,0,8,1,2,6,8,]|[2,7,4,0,0,8,1,2,6,8,]|[47,52,43,61,47,47,51,56,44,53,]
1|[1,5,6,2,9,7,8,8,0,3,]|[1,5,6,2,9,7,8,8,0,3,]|[46,41,57,47,34,44,40,37,35,36,]
1|[7,1,5,9,6,1,5,7,7,8,]|[7,1,5,9,6,1,5,7,7,8,]|[39,49,45,45,50,43,58,31,45,52,]
1|[0,3,3,7,6,4,8,8,1,6,]|[0,3,3,7,6,4,8,8,1,6,]|[47,54,45,46,55,40,47,37,54,36,]
1|[7,5,1,7,2,3,1,1,5,8,]|[7,5,1,7,2,3,1,1,5,8,]|[47,39,36,52,37,50,44,43,34,39,]
1|[2,1,6,0,2,6,0,5,8,1,]|[2,1,6,0,2,6,0,5,8,1,]|[41,45,49,44,51,43,50,47,47,44,]
1|[1,7,4,9,0,6,8,7,3,1,]|[1,7,4,9,0,6,8,7,3,1,]|[55,45,55,23,61,47,55,42,51,48,]
1|[6,5,2,9,3,8,7,4,6,2,]|[6,5,2,9,3,8,7,4,6,2,]|[43,50,34,42,44,54,47,45,36,35,]
1|[5,7,6,0,1,7,4,9,7,2,]|[5,7,6,0,1,7,4,9,7,2,]|[39,40,47,60,50,57,50,46,56,44,]
1|[5,9,8,6,8,0,4,8,2,4,]|[5,9,8,6,8,0,4,8,2,4,]|[60,48,28,56,53,45,59,54,56,38,]
1|[0,9,2,3,6,7,3,6,9,4,]|[0,9,2,3,6,7,3,6,9,4,]|[44,45,46,45,40,52,56,56,58,53,]
1|[6,4,4,5,2,8,4,4,7,6,]|[6,4,4,5,2,8,4,4,7,6,]|[37,53,48,44,58,48,61,46,41,54,]
1|[0,0,2,8,4,1,9,9,0,2,]|[0,0,2,8,4,1,9,9,0,2,]|[38,43,47,39,40,42,50,55,43,37,]
1|[1,4,3,1,5,6,8,1,7,2,]|[1,4,3,1,5,6,8,1,7,2,]|[49,49,39,47,41,51,48,38,49,44,]
1|[4,3,4,0,2,8,9,2,6,1,]|[4,3,4,0,2,8,9,2,6,1,]|[41,54,55,42,49,43,53,46,42,31,]
1|[3,1,2,1,0,7,5,5,1,9,]|[3,1,2,1,0,7,5,5,1,9,]|[48,57,51,47,55,47,47,64,55,50,]
1|[5,8,1,9,3,9,1,4,8,0,]|[5,8,1,9,3,9,1,4,8,0,]|[57,46,45,51,49,62,57,32,43,41,]
1|[5,9,7,3,7,1,4,4,3,5,]|[5,9,7,3,7,1,4,4,3,5,]|[41,42,37,42,46,54,36,57,40,54,]
1|[5,2,6,2,2,0,0,5,2,7,]|[5,2,6,2,2,0,0,5,2,7,]|[45,57,36,48,43,37,40,53,39,38,]
1|[6,3,1,0,7,3,8,9,4,9,]|[6,3,1,0,7,3,8,9,4,9,]|[43,39,46,53,47,50,51,42,41,36,]
1|[7,1,0,5,1,0,8,8,9,0,]|[7,1,0,5,1,0,8,8,9,0,]|[53,50,56,58,38,50,53,44,41,44,]
1|[4,5,7,5,4,0,6,3,9,6,]|[4,5,7,5,4,0,6,3,9,6,]|[39,48,41,63,44,46,35,57,53,60,]
1|[2,3,9,4,3,4,8,5,6,3,]|[2,3,9,4,3,4,8,5,6,3,]|[60,52,42,41,57,50,39,39,44,46,]
1|[2,0,6,7,1,1,0,4,1,2,]|[2,0,6,7,1,1,0,4,1,2,]|[48,48,48,42,48,44,55,48,52,43,]
1|[1,2,8,3,1,7,4,7,1,7,]|[1,2,8,3,1,7,4,7,1,7,]|[38,51,46,53,49,45,44,31,43,42,]
1|[0,7,7,8,2,5,6,9,7,4,]|[0,7,7,8,2,5,6,9,7,4,]|[50,43,48,46,49,45,43,46,52,39,]
1|[7,1,1,0,0,5,3,2,5,8,]|[7,1,1,0,0,5,3,2,5,8,]|[49,46,45,57,46,51,39,50,54,39,]
1|[8,8,5,8,4,7,5,9,4,8,]|[8,8,5,8,4,7,5,9,4,8,]|[45,37,52,40,57,43,38,38,43,52,]
1|[2,8,1,9,7,9,9,8,4,0,]|[2,8,1,9,7,9,9,8,4,0,]|[44,57,54,49,55,49,54,55,39,45,]
1|[2,6,6,2,2,1,2,4,8,1,]|[2,6,6,2,2,1,2,4,8,1,]|[48,48,45,40,54,44,46,38,53,55,]
1|[7,5,8,3,0,4,6,0,6,3,]|[7,5,8,3,0,4,6,0,6,3,]|[52,49,53,46,53,43,38,55,57,42,]
1|[3,4,0,8,1,0,5,6,7,9,]|[3,4,0,8,1,0,5,6,7,9,]|[50,40,41,42,49,50,51,40,39,44,]
1|[9,9,0,1,3,7,8,7,1,4,]|[9,9,0,1,3,7,8,7,1,4,]|[49,53,63,51,44,39,54,43,52,52,]
1|[0,3,4,5,1,0,8,7,5,9,]|[0,3,4,5,1,0,8,7,5,9,]|[54,35,41,51,44,44,40,55,44,39,]
1|[4,9,5,9,3,2,2,1,9,5,]|[4,9,5,9,3,2,2,1,9,5,]|[47,42,53,44,36,50,45,44,38,43,]
1|[8,8,5,8,3,5,4,0,0,2,]|[8,8,5,8,3,5,4,0,0,2,]|[44,30,38,54,51,41,45,49,49,42,]
1|[7,4,2,1,2,5,0,9,8,2,]|[7,4,2,1,2,5,0,9,8,2,]|[37,40,47,45,44,48,43,61,52,58,]
1|[4,7,8,1,6,3,2,4,2,9,]|[4,7,8,1,6,3,2,4,2,9,]|[38,61,45,51,54,34,48,51,46,41,]
1|[4,7,3,7,2,0,2,2,2,0,]|[4,7,3,7,2,0,2,2,2,0,]|[47,53,44,48,47,47,51,64,41,31,]
1|[5,4,2,7,4,3,9,8,9,7,]|[5,4,2,7,4,3,9,8,9,7,]|[45,45,43,52,43,44,48,33,44,41,]
1|[6,0,9,0,5,2,9,9,0,8,]|[6,0,9,0,5,2,9,9,0,8,]|[54,49,43,42,45,46,74,48,53,44,]
1|[1,4,0,9,9,5,0,3,0,0,]|[1,4,0,9,9,5,0,3,0,0,]|[37,47,36,43,37,42,53,49,53,44,]
