result | reference pattern | recorded pattern | recorded pattern spike count
1|[9,8,0,3,1,4,6,0,0,8,]|[9,8,0,3,1,4,6,0,0,8,]|[47,58,40,43,48,46,55,37,54,29,]
1|[9,4,1,6,5,5,0,3,6,9,]|[9,4,1,6,5,5,0,3,6,9,]|[49,49,44,41,46,44,39,39,49,37,]
1|[5,2,5,7,1,4,0,3,4,4,]|[5,2,5,7,1,4,0,3,4,4,]|[34,39,50,38,31,49,50,54,43,50,]
1|[2,7,4,0,0,8,1,2,6,8,]|[2,7,4,0,0,8,1,2,6,8,]|[54,28,56,33,40,46,40,34,41,55,]
1|[1,5,6,2,9,7,8,8,0,3,]|[1,5,6,2,9,7,8,8,0,3,]|[54,46,44,36,43,39,45,49,51,45,]
1|[7,1,5,9,6,1,5,7,7,8,]|[7,1,5,9,6,1,5,7,7,8,]|[45,47,50,48,46,41,58,46,38,47,]
0|[0,3,3,7,6,4,8,8,1,6,]|[0,3,3,7,6,4,8,8,1,3,]|[37,53,45,50,60,42,44,55,50,41,]
1|[7,5,1,7,2,3,1,1,5,8,]|[7,5,1,7,2,3,1,1,5,8,]|[48,57,50,58,44,50,47,51,40,32,]
1|[2,1,6,0,2,6,0,5,8,1,]|[2,1,6,0,2,6,0,5,8,1,]|[46,33,47,45,53,33,45,58,48,38,]
1|[1,7,4,9,0,6,8,7,3,1,]|[1,7,4,9,0,6,8,7,3,1,]|[46,47,51,46,36,52,43,38,52,49,]
1|[6,5,2,9,3,8,7,4,6,2,]|[6,5,2,9,3,8,7,4,6,2,]|[54,54,59,47,38,39,49,50,37,41,]
1|[5,7,6,0,1,7,4,9,7,2,]|[5,7,6,0,1,7,4,9,7,2,]|[50,65,45,50,43,45,49,49,51,52,]
1|[5,9,8,6,8,0,4,8,2,4,]|[5,9,8,6,8,0,4,8,2,4,]|[52,37,46,43,51,44,50,59,45,43,]
1|[0,9,2,3,6,7,3,6,9,4,]|[0,9,2,3,6,7,3,6,9,4,]|[48,35,52,47,52,49,56,46,55,58,]
0|[6,4,4,5,2,8,4,4,7,6,]|[6,4,4,5,2,8,4,4,7,2,]|[53,38,39,40,48,40,44,46,50,45,]
1|[0,0,2,8,4,1,9,9,0,2,]|[0,0,2,8,4,1,9,9,0,2,]|[51,43,43,43,45,44,53,50,48,42,]
1|[1,4,3,1,5,6,8,1,7,2,]|[1,4,3,1,5,6,8,1,7,2,]|[38,38,52,44,54,52,57,51,45,45,]
1|[4,3,4,0,2,8,9,2,6,1,]|[4,3,4,0,2,8,9,2,6,1,]|[45,46,41,50,46,59,38,40,51,23,]
1|[3,1,2,1,0,7,5,5,1,9,]|[3,1,2,1,0,7,5,5,1,9,]|[39,32,29,55,43,59,43,36,48,39,]
1|[5,8,1,9,3,9,1,4,8,0,]|[5,8,1,9,3,9,1,4,8,0,]|[50,35,51,48,55,52,45,42,48,54,]
1|[5,9,7,3,7,1,4,4,3,5,]|[5,9,7,3,7,1,4,4,3,5,]|[57,49,46,57,46,48,56,41,45,37,]
0|[5,2,6,2,2,0,0,5,2,7,]|[5,2,6,2,2,0,0,5,2,4,]|[56,37,50,48,49,43,38,40,51,28,]
1|[6,3,1,0,7,3,8,9,4,9,]|[6,3,1,0,7,3,8,9,4,9,]|[34,45,53,42,55,36,42,43,47,35,]
1|[7,1,0,5,1,0,8,8,9,0,]|[7,1,0,5,1,0,8,8,9,0,]|[45,59,46,37,54,47,43,38,49,43,]
0|[4,5,7,5,4,0,6,3,9,6,]|[4,5,7,5,4,0,6,3,9,4,]|[35,40,47,37,47,49,52,44,56,38,]
1|[2,3,9,4,3,4,8,5,6,3,]|[2,3,9,4,3,4,8,5,6,3,]|[55,39,64,45,52,44,58,53,44,41,]
1|[2,0,6,7,1,1,0,4,1,2,]|[2,0,6,7,1,1,0,4,1,2,]|[47,48,43,49,52,42,47,44,57,48,]
