result | reference pattern | recorded pattern | recorded pattern spike count
1|[0,2,3,3,9,7,7,7,5,5,]|[0,2,3,3,9,7,7,7,5,5,]|[44,60,47,50,37,45,57,47,44,44,]
1|[2,3,6,6,2,4,6,9,2,4,]|[2,3,6,6,2,4,6,9,2,4,]|[36,45,39,41,59,47,40,46,35,39,]
1|[9,8,4,3,0,3,1,0,2,9,]|[9,8,4,3,0,3,1,0,2,9,]|[37,47,52,56,41,41,39,43,56,42,]
1|[8,4,2,6,2,3,4,4,3,9,]|[8,4,2,6,2,3,4,4,3,9,]|[45,34,58,44,43,64,53,55,56,45,]
1|[2,7,6,1,0,7,7,1,5,2,]|[2,7,6,1,0,7,7,1,5,2,]|[52,43,48,41,51,43,43,55,42,34,]
1|[2,4,5,9,1,3,7,1,1,5,]|[2,4,5,9,1,3,7,1,1,5,]|[46,50,50,61,41,59,54,67,53,44,]
1|[7,9,4,0,9,9,1,6,7,0,]|[7,9,4,0,9,9,1,6,7,0,]|[50,60,47,43,42,40,50,46,44,56,]
1|[0,0,4,2,8,6,3,6,1,2,]|[0,0,4,2,8,6,3,6,1,2,]|[52,40,46,47,45,46,46,49,45,50,]
1|[7,3,8,1,9,7,7,8,3,8,]|[7,3,8,1,9,7,7,8,3,8,]|[48,38,44,40,41,38,35,48,44,45,]
1|[2,4,0,6,9,3,4,4,6,1,]|[2,4,0,6,9,3,4,4,6,1,]|[39,42,51,47,42,54,38,52,48,54,]
1|[1,8,9,8,3,4,9,8,9,3,]|[1,8,9,8,3,4,9,8,9,3,]|[48,42,46,50,55,58,59,49,45,34,]
correct pattern: 65/70(92.8571%)
0|[9,8,0,3,1,4,6,0,0,8,]|[9,8,0,3,1,4,6,0,0,3,]|[55,52,37,57,46,57,57,47,56,4,]
0|[9,4,1,6,5,5,0,3,6,9,]|[9,4,1,6,5,5,0,3,6,-1,]|[41,29,42,43,53,57,35,45,40,0,]
0|[5,2,5,7,1,4,0,3,4,4,]|[5,2,5,7,1,4,0,3,4,-1,]|[50,39,48,57,61,44,46,46,49,0,]
0|[2,7,4,0,0,8,1,2,6,8,]|[2,7,4,0,0,8,1,2,6,-1,]|[46,38,49,44,51,57,51,47,43,0,]
