result | reference pattern | recorded pattern | recorded pattern spike count
0|[8,3,8,2,6,3,8,1,0,4,]|[8,3,8,2,6,3,8,1,4,7,]|[30,46,41,57,48,47,35,59,1,2,]
0|[1,8,9,0,9,6,6,3,5,6,]|[1,8,9,0,9,6,6,3,-1,-1,]|[44,50,45,37,61,45,40,48,0,0,]
0|[7,6,2,6,0,3,4,4,4,0,]|[7,6,2,6,0,3,4,4,-1,-1,]|[56,48,39,40,47,46,40,49,0,0,]
1|[8,4,1,0,8,1,2,6,9,6,]|[8,4,1,0,8,1,2,6,9,6,]|[53,53,30,39,54,44,42,60,41,1,]
0|[0,7,1,8,0,0,2,5,4,2,]|[0,7,1,8,0,0,2,5,4,-1,]|[42,54,52,48,46,42,47,39,6,0,]
0|[7,1,3,7,9,6,4,1,8,0,]|[7,1,3,7,9,6,4,1,-1,-1,]|[35,35,53,42,38,51,40,50,0,0,]
0|[8,6,0,9,1,3,3,5,6,5,]|[8,6,0,9,1,3,3,5,-1,-1,]|[50,43,42,46,55,42,44,32,0,0,]
0|[9,4,3,8,6,9,9,0,1,4,]|[9,4,3,8,6,9,9,0,-1,4,]|[32,44,58,47,51,49,42,38,0,16,]
0|[5,6,0,6,9,4,6,6,7,2,]|[5,6,0,6,9,4,6,6,-1,-1,]|[41,47,47,38,48,49,44,52,0,0,]
0|[4,0,3,4,0,9,6,9,4,9,]|[4,0,3,4,0,9,6,9,-1,-1,]|[55,46,42,44,47,53,38,46,0,0,]
0|[5,0,4,8,1,3,8,7,8,1,]|[5,0,4,8,1,3,8,7,-1,-1,]|[59,48,45,53,40,41,45,48,0,0,]
1|[7,5,4,4,1,2,9,6,8,2,]|[7,5,4,4,1,2,9,6,8,2,]|[57,44,53,53,56,44,41,52,5,22,]
0|[5,9,8,2,8,0,6,6,3,5,]|[5,9,8,2,8,0,6,6,-1,2,]|[49,55,56,51,50,42,41,55,0,2,]
0|[0,6,4,3,9,9,5,8,1,3,]|[0,6,4,3,9,9,5,8,-1,-1,]|[63,56,38,59,45,42,57,38,0,0,]
0|[5,1,2,1,7,8,9,0,3,4,]|[5,1,2,1,7,8,9,0,-1,-1,]|[41,58,44,46,43,46,48,36,0,0,]
0|[5,0,3,9,2,0,4,1,8,5,]|[5,0,3,9,2,0,4,1,-1,-1,]|[55,38,49,48,43,49,43,46,0,0,]
0|[9,0,5,5,2,8,4,8,9,8,]|[9,0,5,5,2,8,4,8,-1,-1,]|[42,55,47,44,49,50,46,36,0,0,]
0|[1,0,6,8,4,9,2,6,0,9,]|[1,0,6,8,4,9,2,6,-1,9,]|[52,51,42,37,47,43,49,51,0,12,]
0|[3,1,5,0,1,6,3,2,7,7,]|[3,1,5,0,1,6,3,2,7,-1,]|[58,47,38,45,38,50,49,58,5,0,]
0|[0,0,9,8,6,1,0,3,4,6,]|[0,0,9,8,6,1,0,3,-1,-1,]|[50,43,32,58,43,40,46,44,0,0,]
0|[0,6,7,4,3,9,6,9,8,6,]|[0,6,7,4,3,9,6,9,-1,-1,]|[57,43,50,54,51,54,49,46,0,0,]
0|[0,1,2,1,2,6,3,5,5,7,]|[0,1,2,1,2,6,3,5,5,-1,]|[51,56,44,46,40,42,45,36,10,0,]
0|[3,1,2,9,6,4,5,3,1,3,]|[3,1,2,9,6,4,5,3,-1,3,]|[55,50,38,49,50,38,36,47,0,13,]
1|[8,1,7,5,3,7,2,2,8,4,]|[8,1,7,5,3,7,2,2,8,4,]|[37,45,57,48,46,37,54,51,21,41,]
0|[8,6,1,4,0,5,4,7,8,4,]|[8,6,1,4,0,5,4,7,-1,-1,]|[50,42,51,44,58,44,52,44,0,0,]
0|[3,6,8,8,6,7,5,1,8,5,]|[3,6,8,8,6,7,5,1,-1,5,]|[44,51,46,44,54,56,50,51,0,1,]
0|[1,8,5,9,9,3,5,8,3,2,]|[1,8,5,9,9,3,5,8,-1,2,]|[47,40,39,50,58,57,43,50,0,1,]
1|[0,8,8,8,4,4,8,3,3,8,]|[0,8,8,8,4,4,8,3,3,8,]|[39,45,47,48,53,52,42,48,23,19,]
0|[0,9,9,7,0,3,0,1,7,1,]|[0,9,9,7,0,3,0,1,7,-1,]|[59,42,35,57,47,49,56,41,27,0,]
0|[7,2,1,4,2,9,3,9,1,6,]|[7,2,1,4,2,9,3,9,1,-1,]|[55,38,50,49,52,46,53,50,22,0,]
0|[5,1,7,7,0,9,3,5,1,7,]|[5,1,7,7,0,9,3,5,-1,7,]|[48,50,49,38,40,52,50,52,0,2,]
0|[7,6,9,9,5,6,6,8,1,6,]|[7,6,9,9,5,6,6,8,-1,6,]|[57,45,53,49,51,44,58,42,0,7,]
1|[5,1,5,5,9,8,4,5,5,9,]|[5,1,5,5,9,8,4,5,5,9,]|[43,46,28,44,52,51,53,33,43,32,]
0|[8,9,8,0,7,5,9,5,4,6,]|[8,9,8,0,7,5,9,5,-1,9,]|[50,56,44,34,45,42,44,66,0,2,]
1|[6,3,0,9,2,9,6,8,2,1,]|[6,3,0,9,2,9,6,8,2,1,]|[44,52,46,48,50,40,38,40,11,18,]
1|[5,6,6,4,1,8,5,9,5,1,]|[5,6,6,4,1,8,5,9,5,1,]|[30,46,45,43,49,39,50,48,27,10,]
0|[9,6,2,3,4,5,7,8,4,8,]|[9,6,2,3,4,5,7,8,5,8,]|[55,62,39,38,38,44,51,39,1,52,]
0|[3,0,5,3,7,0,3,8,2,0,]|[3,0,5,3,7,0,3,8,2,8,]|[45,44,44,45,48,45,48,51,21,2,]
1|[4,3,1,6,8,5,5,3,4,2,]|[4,3,1,6,8,5,5,3,4,2,]|[43,53,55,42,39,43,53,45,7,38,]
0|[1,8,0,4,7,2,7,0,5,5,]|[1,8,0,4,7,2,7,0,-1,5,]|[30,37,39,37,48,46,49,39,0,24,]
0|[9,3,5,7,7,4,6,8,7,7,]|[9,3,5,7,7,4,6,8,7,-1,]|[48,46,52,47,59,36,45,35,5,0,]
1|[6,9,8,2,6,6,6,2,0,3,]|[6,9,8,2,6,6,6,2,0,3,]|[41,46,47,40,38,52,50,37,44,28,]
1|[4,2,8,6,7,0,0,1,0,5,]|[4,2,8,6,7,0,0,1,0,5,]|[41,58,44,51,48,52,43,38,46,33,]
1|[3,7,8,9,7,8,6,1,8,0,]|[3,7,8,9,7,8,6,1,8,0,]|[51,58,44,55,50,51,36,56,17,32,]
1|[9,0,9,8,3,1,9,7,8,4,]|[9,0,9,8,3,1,9,7,8,4,]|[56,42,48,63,58,49,41,37,36,36,]
1|[4,9,1,4,6,7,3,1,1,7,]|[4,9,1,4,6,7,3,1,1,7,]|[50,43,41,44,43,72,47,33,34,4,]
0|[7,8,2,5,2,8,9,7,8,7,]|[7,8,2,5,2,8,9,7,8,-1,]|[38,47,46,35,49,51,56,48,7,0,]
0|[0,8,0,4,0,4,3,8,0,7,]|[0,8,0,4,0,4,3,8,-1,7,]|[47,49,40,52,47,42,49,47,0,5,]
1|[5,7,9,2,2,0,0,4,4,6,]|[5,7,9,2,2,0,0,4,4,6,]|[42,58,54,43,40,43,51,49,30,32,]
0|[1,7,7,2,7,0,3,9,4,7,]|[1,7,7,2,7,0,3,9,4,6,]|[52,54,36,45,47,43,47,42,34,1,]
correct pattern: 14/50(28%)
