result | reference pattern | recorded pattern | recorded pattern spike count
1|[9,4,0,9,3,4,2,4,4,0,]|[9,4,0,9,3,4,2,4,4,0,]|[56,54,54,38,50,60,55,43,59,38,]
1|[6,4,6,8,3,4,7,6,2,0,]|[6,4,6,8,3,4,7,6,2,0,]|[38,45,47,51,53,44,50,56,44,49,]
1|[2,2,3,4,0,7,9,4,1,9,]|[2,2,3,4,0,7,9,4,1,9,]|[43,57,44,46,44,52,49,41,45,31,]
1|[4,6,1,2,5,0,6,9,6,3,]|[4,6,1,2,5,0,6,9,6,3,]|[42,50,46,58,47,50,54,49,54,45,]
0|[7,5,6,8,5,0,7,4,6,4,]|[7,5,6,8,5,0,7,4,6,2,]|[49,44,50,46,48,53,48,43,57,29,]
0|[6,2,6,9,0,7,6,3,2,1,]|[6,2,6,9,0,7,6,3,2,9,]|[41,56,56,47,57,51,38,34,46,29,]
1|[6,2,5,1,8,9,3,2,3,9,]|[6,2,5,1,8,9,3,2,3,9,]|[59,44,55,60,52,47,53,52,47,50,]
1|[6,4,1,9,9,9,3,1,0,8,]|[6,4,1,9,9,9,3,1,0,8,]|[49,40,48,46,57,42,55,50,55,42,]
1|[2,6,0,8,0,0,3,7,4,2,]|[2,6,0,8,0,0,3,7,4,2,]|[45,42,43,42,38,47,51,49,43,38,]
1|[2,2,1,3,4,8,2,5,6,3,]|[2,2,1,3,4,8,2,5,6,3,]|[55,42,44,42,43,40,66,43,36,40,]
1|[5,4,9,9,8,6,0,4,8,8,]|[5,4,9,9,8,6,0,4,8,8,]|[54,51,43,45,40,40,48,40,48,41,]
0|[1,4,8,9,6,1,8,5,7,6,]|[1,4,8,9,6,1,8,5,7,2,]|[49,46,49,57,48,57,44,45,52,37,]
0|[1,0,4,4,0,1,0,4,5,3,]|[1,0,4,4,0,1,0,4,5,2,]|[48,45,47,32,55,40,41,55,45,45,]
1|[8,7,6,7,3,3,0,6,9,4,]|[8,7,6,7,3,3,0,6,9,4,]|[40,46,43,48,36,41,46,48,40,39,]
0|[7,2,0,9,1,7,3,5,5,2,]|[7,2,0,9,1,7,3,5,5,4,]|[43,59,48,47,49,47,52,50,39,13,]
1|[7,9,7,9,4,1,0,1,2,9,]|[7,9,7,9,4,1,0,1,2,9,]|[54,55,52,51,58,49,33,31,44,33,]
1|[2,2,3,8,7,8,5,1,7,5,]|[2,2,3,8,7,8,5,1,7,5,]|[54,61,44,49,42,49,44,43,48,29,]
0|[3,8,0,9,7,2,8,1,7,7,]|[3,8,0,9,7,2,8,1,7,5,]|[48,48,55,36,56,44,55,59,50,49,]
1|[8,3,9,7,7,4,9,7,6,2,]|[8,3,9,7,7,4,9,7,6,2,]|[56,43,43,42,41,47,51,54,57,42,]
1|[3,7,3,8,2,8,4,5,8,5,]|[3,7,3,8,2,8,4,5,8,5,]|[46,42,48,51,45,45,45,48,36,36,]
0|[0,2,0,6,8,0,9,3,8,8,]|[0,2,0,6,8,0,9,3,8,5,]|[43,59,32,53,54,37,48,47,42,20,]
1|[2,7,7,5,9,4,7,4,0,9,]|[2,7,7,5,9,4,7,4,0,9,]|[50,45,54,46,39,27,57,49,37,31,]
1|[8,4,3,0,3,2,4,3,9,5,]|[8,4,3,0,3,2,4,3,9,5,]|[52,47,44,51,41,48,55,45,53,40,]
1|[3,2,3,8,5,2,3,6,9,5,]|[3,2,3,8,5,2,3,6,9,5,]|[51,56,45,45,41,44,42,44,46,42,]
1|[6,6,0,0,6,6,8,5,4,3,]|[6,6,0,0,6,6,8,5,4,3,]|[50,45,35,46,34,43,45,50,42,38,]
1|[4,0,3,9,7,4,0,6,1,3,]|[4,0,3,9,7,4,0,6,1,3,]|[58,49,53,56,50,45,32,47,53,60,]
1|[4,9,3,9,5,9,0,0,5,2,]|[4,9,3,9,5,9,0,0,5,2,]|[48,56,54,61,46,47,58,48,40,32,]
0|[7,2,7,9,3,0,7,8,3,8,]|[7,2,7,9,3,0,7,8,3,2,]|[46,41,51,52,55,44,42,55,51,3,]
1|[2,4,1,6,2,0,4,8,0,0,]|[2,4,1,6,2,0,4,8,0,0,]|[49,47,43,51,59,65,46,41,43,40,]
0|[6,6,3,2,4,2,1,3,5,9,]|[6,6,3,2,4,2,1,3,5,2,]|[43,51,41,41,45,49,60,39,45,26,]
1|[1,7,6,0,5,2,6,8,7,4,]|[1,7,6,0,5,2,6,8,7,4,]|[55,51,42,61,44,45,49,56,55,50,]
1|[4,4,4,7,7,7,6,6,3,6,]|[4,4,4,7,7,7,6,6,3,6,]|[54,55,53,39,52,40,47,43,41,28,]
1|[9,0,9,2,6,7,8,6,3,1,]|[9,0,9,2,6,7,8,6,3,1,]|[41,43,59,50,44,38,52,51,65,15,]
0|[1,4,3,2,4,0,5,7,3,2,]|[1,4,3,2,4,0,5,7,3,8,]|[55,50,51,55,47,47,44,42,45,39,]
1|[9,9,1,4,6,1,2,8,8,1,]|[9,9,1,4,6,1,2,8,8,1,]|[45,50,50,52,60,46,50,54,46,46,]
1|[5,9,2,7,8,7,5,4,2,3,]|[5,9,2,7,8,7,5,4,2,3,]|[58,61,50,50,46,45,51,52,40,52,]
1|[0,8,9,7,2,4,9,5,1,4,]|[0,8,9,7,2,4,9,5,1,4,]|[50,48,67,49,38,54,50,51,47,37,]
1|[9,7,6,1,9,0,5,4,9,5,]|[9,7,6,1,9,0,5,4,9,5,]|[50,38,47,49,57,44,42,46,51,38,]
1|[3,6,5,2,2,1,6,1,5,2,]|[3,6,5,2,2,1,6,1,5,2,]|[58,41,45,43,35,49,37,51,49,32,]
1|[9,7,0,8,0,8,2,2,2,1,]|[9,7,0,8,0,8,2,2,2,1,]|[52,47,51,49,53,39,42,53,44,27,]
1|[9,2,9,6,1,8,9,8,9,4,]|[9,2,9,6,1,8,9,8,9,4,]|[57,44,43,48,49,35,42,41,53,38,]
1|[6,6,5,1,6,6,1,9,0,0,]|[6,6,5,1,6,6,1,9,0,0,]|[49,54,51,55,50,41,60,43,55,44,]
0|[9,9,9,2,5,0,7,5,3,7,]|[9,9,9,2,5,0,7,5,3,4,]|[30,63,59,47,41,36,47,38,42,40,]
1|[8,4,0,2,0,5,9,3,7,2,]|[8,4,0,2,0,5,9,3,7,2,]|[44,53,53,57,51,49,58,52,44,45,]
1|[4,2,3,4,2,9,9,5,4,5,]|[4,2,3,4,2,9,9,5,4,5,]|[61,43,42,35,45,48,43,42,52,42,]
0|[3,9,3,3,6,2,7,1,8,4,]|[3,9,3,3,6,2,7,1,8,5,]|[50,43,46,54,48,45,37,52,47,54,]
1|[6,2,7,2,5,8,0,6,4,9,]|[6,2,7,2,5,8,0,6,4,9,]|[42,50,48,49,45,49,42,44,52,42,]
1|[0,9,8,5,4,9,9,3,8,1,]|[0,9,8,5,4,9,9,3,8,1,]|[36,37,51,42,37,41,54,41,49,24,]
1|[0,5,1,1,3,1,9,1,5,5,]|[0,5,1,1,3,1,9,1,5,5,]|[45,46,51,54,51,54,51,42,45,46,]
1|[9,1,7,4,8,7,4,7,4,3,]|[9,1,7,4,8,7,4,7,4,3,]|[33,53,35,43,38,53,53,45,41,30,]
0|[7,1,0,7,1,9,7,7,2,5,]|[7,1,0,7,1,9,7,7,2,3,]|[53,49,42,50,52,58,50,46,36,25,]
0|[1,7,3,2,5,6,5,4,4,8,]|[1,7,3,2,5,6,5,4,4,4,]|[38,59,55,48,48,54,51,35,57,25,]
1|[4,7,8,9,6,8,6,0,6,2,]|[4,7,8,9,6,8,6,0,6,2,]|[45,39,46,56,46,54,43,45,52,51,]
1|[6,1,7,7,0,2,6,4,2,3,]|[6,1,7,7,0,2,6,4,2,3,]|[62,60,43,40,42,52,46,61,58,38,]
1|[0,0,2,3,2,4,2,9,3,8,]|[0,0,2,3,2,4,2,9,3,8,]|[41,53,46,45,46,37,51,49,52,36,]
1|[7,3,1,8,6,6,5,4,5,3,]|[7,3,1,8,6,6,5,4,5,3,]|[54,54,55,43,48,52,47,53,50,36,]
1|[3,0,6,6,4,6,1,0,5,2,]|[3,0,6,6,4,6,1,0,5,2,]|[55,44,39,45,39,47,59,48,59,40,]
1|[0,8,8,6,7,7,6,1,2,9,]|[0,8,8,6,7,7,6,1,2,9,]|[55,41,48,44,48,48,50,47,47,27,]
1|[0,8,4,7,9,7,0,3,9,8,]|[0,8,4,7,9,7,0,3,9,8,]|[43,62,44,49,44,59,52,46,50,36,]
1|[5,0,0,2,3,3,3,4,3,4,]|[5,0,0,2,3,3,3,4,3,4,]|[45,44,42,61,53,50,40,42,28,29,]
1|[1,4,2,6,0,1,0,0,5,7,]|[1,4,2,6,0,1,0,0,5,7,]|[40,55,42,51,48,61,47,49,42,48,]
1|[9,6,8,3,9,0,0,7,4,2,]|[9,6,8,3,9,0,0,7,4,2,]|[46,46,59,56,51,37,44,43,47,35,]
1|[2,2,8,3,1,2,7,9,9,7,]|[2,2,8,3,1,2,7,9,9,7,]|[47,40,64,52,43,40,45,53,54,38,]
1|[9,0,2,4,4,1,9,1,3,8,]|[9,0,2,4,4,1,9,1,3,8,]|[34,46,45,43,51,47,48,48,46,39,]
1|[5,8,0,6,4,3,7,4,5,4,]|[5,8,0,6,4,3,7,4,5,4,]|[43,36,43,50,49,45,51,50,42,30,]
0|[3,6,0,3,6,3,0,7,8,5,]|[3,6,0,3,6,3,0,7,8,4,]|[40,43,50,49,46,47,35,43,45,47,]
1|[7,9,6,5,8,0,1,8,2,6,]|[7,9,6,5,8,0,1,8,2,6,]|[52,43,41,53,58,56,52,57,40,38,]
1|[0,7,1,1,1,8,8,9,3,3,]|[0,7,1,1,1,8,8,9,3,3,]|[43,48,52,47,51,48,50,45,55,33,]
1|[2,6,8,5,9,2,3,0,4,5,]|[2,6,8,5,9,2,3,0,4,5,]|[45,48,55,50,50,45,53,60,52,43,]
1|[2,7,0,7,3,1,4,4,6,7,]|[2,7,0,7,3,1,4,4,6,7,]|[34,50,49,41,40,49,47,43,50,41,]
1|[6,7,7,4,5,7,8,9,5,9,]|[6,7,7,4,5,7,8,9,5,9,]|[46,60,53,52,38,51,41,45,37,39,]
1|[1,1,3,7,3,6,0,2,1,4,]|[1,1,3,7,3,6,0,2,1,4,]|[50,50,50,47,49,52,47,38,48,37,]
1|[3,7,8,4,2,8,4,5,3,0,]|[3,7,8,4,2,8,4,5,3,0,]|[57,43,42,38,48,49,39,56,48,39,]
1|[7,7,8,6,8,6,1,5,8,7,]|[7,7,8,6,8,6,1,5,8,7,]|[35,49,56,46,44,52,47,53,50,33,]
1|[5,0,7,4,6,8,1,4,0,2,]|[5,0,7,4,6,8,1,4,0,2,]|[45,45,53,50,51,48,48,53,40,38,]
0|[8,2,3,6,9,9,8,1,4,6,]|[8,2,3,6,9,9,8,1,4,2,]|[50,39,49,50,41,37,46,41,41,57,]
1|[7,1,6,4,7,2,4,8,8,5,]|[7,1,6,4,7,2,4,8,8,5,]|[41,48,49,47,43,38,55,41,35,35,]
