result | reference pattern | recorded pattern | recorded pattern spike count
1|[0,0,0,0,0,0,0,0,0,0,]|[0,0,0,0,0,0,0,0,0,0,]|[25,27,21,26,26,26,25,24,24,24,]
1|[0,0,0,0,0,0,0,0,0,0,]|[0,0,0,0,0,0,0,0,0,0,]|[27,25,26,25,23,29,27,27,23,28,]
1|[1,1,1,1,1,1,1,1,1,1,]|[1,1,1,1,1,1,1,1,1,1,]|[27,30,27,29,28,27,26,24,29,25,]
1|[1,1,1,1,1,1,1,1,1,1,]|[1,1,1,1,1,1,1,1,1,1,]|[31,22,24,30,27,30,29,28,23,29,]
1|[2,2,2,2,2,2,2,2,2,2,]|[2,2,2,2,2,2,2,2,2,2,]|[23,29,27,26,29,25,30,28,33,25,]
1|[2,2,2,2,2,2,2,2,2,2,]|[2,2,2,2,2,2,2,2,2,2,]|[28,26,30,22,26,29,26,26,30,28,]
1|[3,3,3,3,3,3,3,3,3,3,]|[3,3,3,3,3,3,3,3,3,3,]|[26,23,27,27,25,23,26,27,30,27,]
1|[3,3,3,3,3,3,3,3,3,3,]|[3,3,3,3,3,3,3,3,3,3,]|[29,25,23,22,26,26,26,29,29,27,]
1|[4,4,4,4,4,4,4,4,4,4,]|[4,4,4,4,4,4,4,4,4,4,]|[30,25,23,27,30,27,30,31,29,23,]
1|[4,4,4,4,4,4,4,4,4,4,]|[4,4,4,4,4,4,4,4,4,4,]|[25,27,23,25,27,25,24,30,26,24,]
1|[5,5,5,5,5,5,5,5,5,5,]|[5,5,5,5,5,5,5,5,5,5,]|[28,25,23,28,26,26,28,27,29,29,]
1|[5,5,5,5,5,5,5,5,5,5,]|[5,5,5,5,5,5,5,5,5,5,]|[27,28,29,24,23,29,28,27,25,26,]
1|[6,6,6,6,6,6,6,6,6,6,]|[6,6,6,6,6,6,6,6,6,6,]|[25,24,28,24,22,25,26,29,24,22,]
1|[6,6,6,6,6,6,6,6,6,6,]|[6,6,6,6,6,6,6,6,6,6,]|[21,27,26,24,27,25,30,23,22,26,]
1|[7,7,7,7,7,7,7,7,7,7,]|[7,7,7,7,7,7,7,7,7,7,]|[25,28,27,25,29,28,33,29,25,29,]
1|[7,7,7,7,7,7,7,7,7,7,]|[7,7,7,7,7,7,7,7,7,7,]|[28,27,28,26,23,31,25,23,23,31,]
1|[8,8,8,8,8,8,8,8,8,8,]|[8,8,8,8,8,8,8,8,8,8,]|[26,25,25,30,25,23,26,19,26,25,]
1|[8,8,8,8,8,8,8,8,8,8,]|[8,8,8,8,8,8,8,8,8,8,]|[28,28,25,25,26,22,22,24,31,25,]
1|[9,9,9,9,9,9,9,9,9,9,]|[9,9,9,9,9,9,9,9,9,9,]|[25,25,25,22,24,25,25,25,26,30,]
1|[9,9,9,9,9,9,9,9,9,9,]|[9,9,9,9,9,9,9,9,9,9,]|[28,24,28,19,26,33,25,30,24,27,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,9,0,0,0,0,9,9,9,9,]|[167,39,48,41,78,45,42,34,31,29,]
0|[0,0,0,0,0,0,0,0,0,0,]|[1,1,1,1,1,0,1,0,0,1,]|[96,83,92,78,65,67,78,93,89,77,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,2,2,2,0,2,1,2,1,1,]|[103,116,98,124,73,59,91,56,117,69,]
0|[0,0,0,0,0,0,0,0,0,0,]|[3,3,3,3,3,3,3,2,3,3,]|[87,124,85,111,81,83,80,77,83,103,]
0|[0,0,0,0,0,0,0,0,0,0,]|[4,4,4,4,3,3,4,4,4,4,]|[122,95,83,110,88,79,91,83,96,114,]
0|[0,0,0,0,0,0,0,0,0,0,]|[5,5,5,5,5,5,5,5,5,5,]|[106,83,91,83,75,82,80,81,84,101,]
0|[0,0,0,0,0,0,0,0,0,0,]|[6,6,6,6,6,6,6,6,6,6,]|[152,123,87,87,85,80,90,70,86,109,]
0|[0,0,0,0,0,0,0,0,0,0,]|[7,7,8,8,7,8,7,7,7,8,]|[110,155,95,95,100,105,92,95,90,70,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,9,9,0,0,0,9,0,0,0,]|[63,95,73,77,69,76,69,87,104,67,]
0|[0,0,0,0,0,0,0,0,0,0,]|[8,9,9,9,8,9,8,9,8,9,]|[147,77,100,79,98,83,102,84,89,90,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,-1,0,0,0,9,9,9,-1,9,]|[199,0,2,42,57,1,3,4,0,1,]
0|[0,0,0,0,0,0,0,0,0,0,]|[2,3,3,3,2,2,3,2,2,2,]|[68,100,86,95,102,91,80,94,87,88,]
0|[0,0,0,0,0,0,0,0,0,0,]|[2,2,2,2,3,2,1,2,1,2,]|[102,120,99,98,46,58,93,48,78,52,]
0|[0,0,0,0,0,0,0,0,0,0,]|[5,4,5,5,4,4,4,4,4,5,]|[106,83,90,83,85,89,92,96,88,100,]
0|[0,0,0,0,0,0,0,0,0,0,]|[4,4,4,4,4,4,4,4,4,4,]|[123,117,84,114,80,70,90,81,95,113,]
0|[0,0,0,0,0,0,0,0,0,0,]|[7,7,8,7,7,8,7,7,7,6,]|[110,145,71,87,106,69,92,95,90,74,]
0|[0,0,0,0,0,0,0,0,0,0,]|[6,6,6,6,6,6,6,7,6,6,]|[152,125,87,87,85,80,90,85,85,109,]
0|[0,0,0,0,0,0,0,0,0,0,]|[8,9,9,9,9,0,9,0,0,9,]|[87,99,93,80,93,76,100,86,98,94,]
0|[0,0,0,0,0,0,0,0,0,0,]|[8,9,9,9,8,9,8,9,8,9,]|[146,77,100,80,98,85,102,90,89,91,]
