result | reference pattern | recorded pattern | recorded pattern spike count
1|[9,4,0,9,3,4,2,4,4,0,]|[9,4,0,9,3,4,2,4,4,0,]|[45,39,42,42,37,44,40,54,45,11,]
0|[6,4,6,8,3,4,7,6,2,0,]|[6,4,6,8,3,4,7,6,2,6,]|[44,44,30,39,41,46,41,56,51,11,]
0|[2,2,3,4,0,7,9,4,1,9,]|[2,2,3,4,0,7,9,4,1,4,]|[41,45,38,48,44,42,43,39,43,9,]
0|[4,6,1,2,5,0,6,9,6,3,]|[4,6,1,2,5,0,6,9,6,2,]|[45,33,40,42,44,46,46,38,25,10,]
0|[7,5,6,8,5,0,7,4,6,4,]|[7,5,6,8,5,0,7,4,6,5,]|[53,42,41,42,43,45,34,45,31,15,]
0|[6,2,6,9,0,7,6,3,2,1,]|[6,2,6,9,0,7,6,3,2,6,]|[28,49,52,46,38,35,37,40,35,10,]
1|[6,2,5,1,8,9,3,2,3,9,]|[6,2,5,1,8,9,3,2,3,9,]|[49,49,45,50,51,39,55,48,37,11,]
0|[6,4,1,9,9,9,3,1,0,8,]|[6,4,1,9,9,9,3,1,0,6,]|[58,39,45,43,45,38,41,43,47,7,]
0|[2,6,0,8,0,0,3,7,4,2,]|[2,6,0,8,0,0,3,7,4,9,]|[56,47,50,48,62,50,39,39,42,20,]
0|[2,2,1,3,4,8,2,5,6,3,]|[2,2,1,3,4,8,2,5,6,9,]|[35,52,46,37,50,48,49,48,37,11,]
0|[5,4,9,9,8,6,0,4,8,8,]|[5,4,9,9,8,6,0,4,8,2,]|[43,40,45,44,38,41,37,49,49,9,]
0|[1,4,8,9,6,1,8,5,7,6,]|[1,4,8,9,6,1,8,5,7,5,]|[41,55,37,41,47,43,37,49,45,11,]
0|[1,0,4,4,0,1,0,4,5,3,]|[1,0,4,4,0,1,0,4,5,9,]|[41,36,46,47,33,52,44,48,52,15,]
0|[8,7,6,7,3,3,0,6,9,4,]|[8,7,6,7,3,3,0,6,9,1,]|[52,44,42,45,35,43,53,44,46,12,]
1|[7,2,0,9,1,7,3,5,5,2,]|[7,2,0,9,1,7,3,5,5,2,]|[42,49,43,42,42,32,55,51,36,9,]
