result | reference pattern | recorded pattern | recorded pattern spike count
1|[0,0,0,0,0,0,0,0,0,0,]|[0,0,0,0,0,0,0,0,0,0,]|[28,24,30,25,24,31,24,28,29,31,]
1|[1,1,1,1,1,1,1,1,1,1,]|[1,1,1,1,1,1,1,1,1,1,]|[27,28,27,30,26,23,25,25,26,24,]
1|[2,2,2,2,2,2,2,2,2,2,]|[2,2,2,2,2,2,2,2,2,2,]|[30,25,27,19,22,25,22,24,24,27,]
1|[3,3,3,3,3,3,3,3,3,3,]|[3,3,3,3,3,3,3,3,3,3,]|[23,27,24,29,29,24,26,30,25,24,]
1|[4,4,4,4,4,4,4,4,4,4,]|[4,4,4,4,4,4,4,4,4,4,]|[29,22,29,29,29,31,24,26,24,24,]
1|[5,5,5,5,5,5,5,5,5,5,]|[5,5,5,5,5,5,5,5,5,5,]|[27,31,28,28,30,25,31,26,23,29,]
1|[6,6,6,6,6,6,6,6,6,6,]|[6,6,6,6,6,6,6,6,6,6,]|[27,25,27,28,27,27,26,29,26,25,]
1|[7,7,7,7,7,7,7,7,7,7,]|[7,7,7,7,7,7,7,7,7,7,]|[27,26,31,29,26,26,28,28,25,26,]
1|[8,8,8,8,8,8,8,8,8,8,]|[8,8,8,8,8,8,8,8,8,8,]|[24,26,28,27,27,28,24,25,26,24,]
1|[9,9,9,9,9,9,9,9,9,9,]|[9,9,9,9,9,9,9,9,9,9,]|[26,27,28,25,24,24,29,27,30,25,]
0|[0,0,0,0,0,0,0,0,0,0,]|[1,0,1,1,1,1,0,1,1,0,]|[83,86,56,51,74,66,95,85,86,98,]
0|[0,0,0,0,0,0,0,0,0,0,]|[3,3,3,3,3,3,3,3,3,3,]|[107,125,94,93,88,77,90,86,87,89,]
0|[0,0,0,0,0,0,0,0,0,0,]|[5,5,5,5,6,6,5,6,6,6,]|[141,114,95,94,78,77,93,89,84,70,]
0|[0,0,0,0,0,0,0,0,0,0,]|[7,7,8,7,7,8,8,8,8,8,]|[91,122,88,108,123,90,109,98,106,88,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,0,9,9,9,9,0,9,0,0,]|[120,62,82,74,96,80,98,85,72,86,]
0|[0,0,0,0,0,0,0,0,0,0,]|[2,2,2,2,2,2,1,1,2,2,]|[73,74,82,72,85,83,111,72,74,79,]
0|[0,0,0,0,0,0,0,0,0,0,]|[3,3,5,4,4,4,4,4,4,4,]|[100,98,78,94,98,110,78,102,90,105,]
0|[0,0,0,0,0,0,0,0,0,0,]|[7,7,7,7,7,6,7,6,6,6,]|[91,100,93,114,107,101,87,105,102,83,]
0|[0,0,0,0,0,0,0,0,0,0,]|[8,8,9,9,9,9,8,9,8,9,]|[120,88,108,88,126,98,88,98,77,89,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,1,2,2,1,1,1,1,1,1,]|[116,58,48,43,57,49,131,71,53,46,]
0|[0,0,0,0,0,0,0,0,0,0,]|[3,3,3,3,3,4,3,3,3,3,]|[123,139,97,90,88,87,87,85,87,88,]
0|[0,0,0,0,0,0,0,0,0,0,]|[5,5,5,5,6,6,5,6,6,6,]|[142,112,94,94,86,102,93,109,102,84,]
0|[0,0,0,0,0,0,0,0,0,0,]|[8,7,8,8,7,8,8,8,8,8,]|[121,105,87,77,98,91,113,97,107,87,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,0,9,9,9,9,0,9,0,0,]|[152,81,50,42,65,48,97,53,72,86,]
0|[0,0,0,0,0,0,0,0,0,0,]|[2,2,2,3,2,2,1,3,3,2,]|[73,75,82,84,85,84,80,73,82,80,]
0|[0,0,0,0,0,0,0,0,0,0,]|[5,5,5,4,4,4,5,4,4,4,]|[108,103,94,94,98,108,93,102,90,105,]
0|[0,0,0,0,0,0,0,0,0,0,]|[7,7,7,7,7,6,7,6,6,7,]|[91,123,93,114,123,77,87,74,71,80,]
0|[0,0,0,0,0,0,0,0,0,0,]|[8,8,9,9,9,9,0,9,0,9,]|[89,77,108,87,126,98,94,99,72,90,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,2,2,2,2,2,1,1,2,2,]|[86,60,77,72,80,73,133,72,71,73,]
0|[0,0,0,0,0,0,0,0,0,0,]|[3,3,3,4,4,4,3,4,4,4,]|[124,139,98,94,97,111,86,102,91,105,]
0|[0,0,0,0,0,0,0,0,0,0,]|[5,5,5,5,6,6,6,6,6,6,]|[117,94,69,78,86,101,74,110,102,83,]
0|[0,0,0,0,0,0,0,0,0,0,]|[8,8,8,8,9,8,8,8,8,8,]|[126,88,88,78,90,90,113,98,106,88,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,0,0,0,1,1,0,1,0,0,]|[154,81,64,41,47,36,87,41,72,86,]
0|[0,0,0,0,0,0,0,0,0,0,]|[3,3,3,3,3,2,3,3,3,3,]|[82,100,98,91,88,84,86,85,87,88,]
0|[0,0,0,0,0,0,0,0,0,0,]|[5,5,5,5,4,4,5,4,5,4,]|[136,113,95,94,77,79,92,85,75,86,]
correct pattern: 10/35(28.5714%)
