result | reference pattern | recorded pattern | recorded pattern spike count
0|[0,0,0,0,0,0,0,0,0,0,]|[0,0,1,0,0,0,0,1,1,0,]|[12,3,6,7,13,7,5,4,11,3,]
0|[0,0,0,0,0,0,0,0,0,0,]|[2,2,2,2,2,2,2,3,2,3,]|[11,19,27,9,19,18,5,8,14,12,]
0|[0,0,0,0,0,0,0,0,0,0,]|[3,4,3,3,3,4,3,4,4,4,]|[17,14,12,10,9,16,7,4,16,14,]
0|[0,0,0,0,0,0,0,0,0,0,]|[5,6,5,5,5,5,6,5,5,6,]|[12,7,15,9,24,10,8,8,18,14,]
0|[0,0,0,0,0,0,0,0,0,0,]|[7,7,7,7,6,7,8,7,7,7,]|[12,13,9,15,10,18,13,13,17,18,]
0|[0,0,0,0,0,0,0,0,0,0,]|[9,9,9,8,9,8,9,8,8,8,]|[12,13,10,11,10,10,9,8,8,6,]
0|[0,0,0,0,0,0,0,0,0,0,]|[1,1,1,0,0,0,1,1,1,1,]|[10,11,5,4,11,6,11,5,12,6,]
0|[0,0,0,0,0,0,0,0,0,0,]|[2,2,2,2,3,2,3,2,3,3,]|[11,12,21,11,9,15,15,9,13,16,]
0|[0,0,0,0,0,0,0,0,0,0,]|[4,4,4,4,5,4,4,4,4,4,]|[9,24,9,17,8,10,9,12,12,14,]
0|[0,0,0,0,0,0,0,0,0,0,]|[6,6,5,7,6,6,6,6,6,6,]|[9,7,14,15,11,15,9,15,12,14,]
0|[0,0,0,0,0,0,0,0,0,0,]|[8,7,8,8,8,8,8,7,7,8,]|[12,9,9,10,11,13,15,11,13,12,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,9,9,9,0,0,9,9,0,9,]|[14,9,7,11,16,6,8,7,9,7,]
0|[0,0,0,0,0,0,0,0,0,0,]|[1,1,2,1,2,2,2,2,2,2,]|[15,14,13,9,8,9,11,5,17,8,]
0|[0,0,0,0,0,0,0,0,0,0,]|[3,3,3,4,3,4,3,3,3,4,]|[15,10,19,8,7,13,12,11,14,11,]
0|[0,0,0,0,0,0,0,0,0,0,]|[4,4,5,4,5,4,5,5,5,5,]|[13,5,16,15,7,12,13,13,21,13,]
0|[0,0,0,0,0,0,0,0,0,0,]|[6,6,6,6,6,6,6,7,6,7,]|[10,7,12,9,13,12,7,9,12,13,]
0|[0,0,0,0,0,0,0,0,0,0,]|[8,9,8,8,8,8,8,8,7,8,]|[13,7,11,7,14,19,13,10,7,11,]
0|[0,0,0,0,0,0,0,0,0,0,]|[0,9,0,9,0,0,0,9,1,0,]|[22,4,4,8,13,10,7,8,5,1,]
0|[0,0,0,0,0,0,0,0,0,0,]|[1,1,2,1,1,2,3,2,2,2,]|[11,13,14,8,10,13,7,17,13,10,]
0|[0,0,0,0,0,0,0,0,0,0,]|[3,3,3,4,3,4,3,4,3,4,]|[10,9,6,7,11,18,14,13,12,12,]
0|[0,0,0,0,0,0,0,0,0,0,]|[5,6,5,4,5,5,5,5,5,6,]|[15,11,11,10,16,16,9,12,16,11,]
0|[0,0,0,0,0,0,0,0,0,0,]|[7,7,6,7,6,7,7,7,7,7,]|[15,9,7,14,10,11,12,10,14,12,]
0|[0,0,0,0,0,0,0,0,0,0,]|[9,9,9,9,8,8,9,9,8,8,]|[14,13,13,9,11,11,15,9,11,8,]
0|[0,0,0,0,0,0,0,0,0,0,]|[1,1,2,0,0,1,1,1,1,2,]|[11,10,4,3,7,5,7,6,10,4,]
0|[0,0,0,0,0,0,0,0,0,0,]|[3,3,3,2,3,2,3,3,3,3,]|[6,16,8,12,13,6,10,7,17,7,]
correct pattern: 0/25(0%)
